name,authors,description
Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,"{""Austin Kleon""}","<DIV><P>In his <I>New York Times</I> bestseller <I>Steal Like an Artist</I>, Austin Kleon showed readers how to unlock their creativity by “stealing” from the community of other movers and shakers. Now, in an even more forward-thinking and necessary book, he shows how to take that critical next step on a creative journey―getting known.<BR /><BR /><I> Show Your Work!</I> is about why generosity trumps genius. It’s about getting <I>findable</I>, about using the network instead of wasting time “networking.” It’s not self-promotion, it’s self-discovery―let others into your process, then let them steal from you. Filled with illustrations, quotes, stories, and examples, <I>Show Your Work!</I> offers ten transformative rules for being open, generous, brave, productive.<BR /><BR /> In chapters such as<B> You Don’t Have to Be a Genius</B>; <B>Share Something Small Every Day</B>; and <B>Stick Around</B>, Kleon creates a user’s manual for embracing the communal nature of creativity― what he calls the “ecology of talent.” From broader life lessons about work (you can’t find your voice if you don’t use it) to the etiquette of sharing―and the dangers of oversharing―to the practicalities of Internet life (build a good domain name; give credit when credit is due), it’s an inspiring manifesto for succeeding as any kind of artist or entrepreneur in the digital age.</P></DIV>"
"Jab, Jab, Jab, Right Hook: How to Tell Your Story in a Noisy Social World","{""Gary Vaynerchuk""}","<p><em>New York Times </em>bestselling author and social media expert Gary Vaynerchuk shares hard-won advice on how to connect with customers and beat the competition. A mash-up of the best elements of <em>Crush It!</em> and <em>The Thank You Economy </em>with a fresh spin, <em>Jab, Jab, Jab, Right Hook</em> is a blueprint to social media marketing strategies that really works. </p><p>When managers and marketers outline their social media strategies, they plan for the “right hook”—their next sale or campaign that’s going to knock out the competition. Even companies committed to jabbing—patiently engaging with customers to build the relationships crucial to successful social media campaigns—want to land the punch that will take down their opponent or their customer’s resistance in one blow. Right hooks convert traffic to sales and easily show results. Except when they don’t.</p><p>Thanks to massive change and proliferation in social media platforms, the winning combination of jabs and right hooks is different now. Vaynerchuk shows that while communication is still key, context matters more than ever. It’s not just about developing high-quality content, but developing high-quality content perfectly adapted to specific social media platforms and mobile devices—content tailor-made for Facebook, Instagram, Pinterest, Twitter, and Tumblr.</p>"
Mindset: The New Psychology of Success,"{""Carol S. Dweck""}","<b>World-renowned Stanford University psychologist Carol Dweck, in decades of research on achievement and success, has discovered a truly groundbreaking idea—the power of our mindset.</b><br><br>In this brilliant book, Dweck shows how success in school, work, sports, the arts, and almost every area of human endeavor can be dramatically influenced by how we approach our goals. People with a fixed mindset—those who believe that abilities are fixed—are far less likely to flourish than those with a growth mindset—those who believe that abilities can be developed through hard work, good strategies, and mentorship. <i>Mindset</i> reveals how great parents, teachers, managers, and athletes can put this idea to use to foster outstanding accomplishment.<br><br> <b>Praise for <i>Mindset</i></b><br><br>“A good book is one whose advice you believe. A great book is one whose advice you follow. This is a book that can change your life, as its ideas have changed mine.”<b>—Robert J. Sternberg, co-author of <i>Teaching for Wisdom, Intelligence, Creativity, and Success</i></b><br> <b><i> </i></b><br> “An essential read for parents, teachers [and] coaches . . . as well as for those who would like to increase their own feelings of success and fulfillment.”<b><i>—Library Journal </i>(starred review)</b><br>  <br> “Everyone should read this book.”<b>—Chip Heath and Dan Heath, authors of <i>Made to Stick</i></b><br>  <br> “One of the most influential books ever about motivation.”<b>—Po Bronson, author of <i>NurtureShock</i></b><br>  <br> “If you manage people or are a parent (which is a form of managing people), drop everything and read <i>Mindset</i>.”<b>—Guy Kawasaki, author of <i>The Art of the Start 2.0</i></b><br><br><br><i>From the Hardcover edition.</i>"
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,"{""Mark Manson""}","<p><strong><em>New York Times</em> Bestseller</strong></p><p>In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be ""positive"" all the time so that we can truly become better, happier people.</p><p>For decades, we’ve been told that positive thinking is the key to a happy, rich life. ""F**k positivity,"" Mark Manson says. ""Let’s be honest, shit is f**ked and we have to live with it."" In his wildly popular Internet blog, Manson doesn’t sugarcoat or equivocate. He tells it like it is—a dose of raw, refreshing, honest truth that is sorely lacking today. <em>The Subtle Art of Not Giving a F**k</em> is his antidote to the coddling, let’s-all-feel-good mindset that has infected modern society and spoiled a generation, rewarding them with gold medals just for showing up. </p><p>Manson makes the argument, backed both by academic research and well-timed poop jokes, that improving our lives hinges not on our ability to turn lemons into lemonade, but on learning to stomach lemons better. Human beings are flawed and limited—""not everybody can be extraordinary, there are winners and losers in society, and some of it is not fair or your fault."" Manson advises us to get to know our limitations and accept them. Once we embrace our fears, faults, and uncertainties, once we stop running and avoiding and start confronting painful truths, we can begin to find the courage, perseverance, honesty, responsibility, curiosity, and forgiveness we seek. </p><p>There are only so many things we can give a f**k about so we need to figure out which ones really matter, Manson makes clear. While money is nice, caring about what you do with your life is better, because true wealth is about experience. A much-needed grab-you-by-the-shoulders-and-look-you-in-the-eye moment of real-talk, filled with entertaining stories and profane, ruthless humor, <em>The Subtle Art of Not Giving a F**k</em> is a refreshing slap for a generation to help them lead contented, grounded lives.</p>"
Tao Te Ching,{Laozi},"<font size=2><p>Lao-tzu's Tao Te Ching, or Book of the Way, is the classic manual on the art of living, and one of the wonders of the world. In eighty-one brief chapters, the Tao Te Ching looks at the basic predicament of being alive and gives advice that imparts balance and perspective, a serene and generous spirit. This book is about wisdom in action. It teaches how to work for the good with the effortless skill that comes from being in accord with the Tao (the basic principle of the universe) and applies equally to good government and sexual love; to child rearing, business, and ecology. </p><p>Stephen Mitchell's bestselling version has been widely acclaimed as a gift to contemporary culture.</p><p> </p></font>"
Adobe Photoshop CC Classroom in a Book (2017 release),"{""Andrew Faulkner"",""Conrad Chavez""}","<p style=""margin:0px;"">Creative professionals seeking the fastest, easiest, most comprehensive way to learn Adobe Photoshop choose <i>Adobe Photoshop CC Classroom in a Book (2017 release)</i> from Adobe Press. The 15 project-based lessons in this book show users step-by-step the key techniques for working in Photoshop and how to correct, enhance, and distort digital images, create image composites, and prepare images for print and the web.</p> <p style=""margin:0px;""> </p> <p style=""margin:0px;"">In addition to learning the key elements of the Photoshop interface, this completely revised CC (2017 release) edition covers features like new and improved search capabilities, Content-Aware Crop, Select and Mask, Face-Aware Liquify, designing with multiple artboards, and much more!</p> <p style=""margin:0px;""> </p> <p style=""margin:0px;"">The online companion files include all the necessary assets for readers to complete the projects featured in each chapter as well as ebook updates when Adobe releases new features for Creative Cloud customers. All buyers of the book get full access to the Web Edition: a Web-based version of the complete ebook enhanced with video and interactive multiple-choice quizzes. As always with the Classroom in a Book, Instructor Notes are available for teachers to download.</p>"
"Moleskine Classic Notebook, Large, Plain, Black, Hard Cover (5 x 8.25) (Classic Notebooks)",{Moleskine},"This basic, yet classic Large Plain notebook is one of the best-selling Moleskine notebooks. This reliable travel companion, perfect for sketches, thoughts and passing notes, has a cardboard bound cover with rounded corners, acid free paper, a bookmark, an elastic closure and an expandable inner pocket that contains the Moleskine history. <br><br>Specifications: <br>- Layout: Plain Paper<br>- Dimensions: 5"" x 8-1/4""<br>- Hard Cover with elastic closure and bookmark ribbon.<br>- Color: Black<br>- Pages: 192<br>- Paper Weight: 70 gsm/47 lb.; FSC Certified Paper; Acid-Free (pH Neutral)<br>- Internal Accordion Pocket<br><br/>California residents: Click here for Proposition 65 warning.<br /><br /> <hr class=""bucketDivider"" size=""1"" /><div class=""aplus""><br /> <br /> <div class=""aplus""> <br /> <!-- Begin Moleskine Notebook & Journals Comparison Table --> <div align=""center""> <h2><a name=""Comparison_Chart""><strong>Moleskine Notebook & Journals Comparison</strong></h2> <table align=""center"" border=""0"" class=""data"" width=""100%""> <tbody> <tr> <th style=""text-align: left;"">Series</th> <th style=""text-align: center;width: 300px;"">Classic Notebooks</th> <th style=""text-align: center;width: 300px;"">Evernote Smart Notebooks</th> <th style=""text-align: center;width: 300px;"">Classic Notebooks - Reporter</th> <th style=""text-align: center;width: 300px;"">Volant Notebooks</th> <th style=""text-align: center;width: 300px;"">Cahier Notebooks</th> </tr> <tr> <td style=""text-align: left;width: 110px "">Brief Description</td> <td style=""text-align: top;"">The Moleskine icon. Always at the ready, these thread-bound classic notebooks capture your thoughts, drafts, sketches, notes, appointments, contacts, or anything else you choose.</td> <td style=""text-align: top;"">Write, sketch, or draw in the specially designed Evernote Notebooks by Moleskine. Take a photo of any page in this Moleskine notebook with the Evernote Page Camera and it instantly becomes digital so that you can save it, search it and share it with the world.</td> <td style=""text-align: top;"">The Moleskine Pocket Ruled Reporter notebook has a cover that flip opens at the top, detachable pages at the back for quick notes on the spot and can be used both horizontally and vertically.</td> <td style=""text-align: top;"">A colored collection of soft cover notebooks and journals ideal for everyday use. Volant notebooks come packed in sets of two, consisting of two different shades of the same colour. It's a notebook so lightweight you'll forget about it - until you need it.</td> <td style=""text-align: top;"">The journals for day-to-day use, Cahier notebooks each have a heavy duty cardboard cover with visible stitching on the spine that matches the cover color. Slim, soft and light - Cahier journals suit any occasion, and come packaged in sets of three.</td> </tr> <tr bgcolor=""#eeeeee""> <td style=""text-align:left;width: 110px "">Size</td> <td style=""text-align: top;"">X-Small, Pocket, Large, X-Large</td> <td style=""text-align: top;"">Pocket, Large</td> <td style=""text-align: top;"">Pocket, Large</td> <td style=""text-align: top;"">Pocket, Large</td> <td style=""text-align: top;"">Pocket, Large, X-Large</td> </tr> <tr> <td style=""text-align: left;"">Format</td> <td style=""text-align: top;"">Hard cover, Soft cover</td> <td style=""text-align: top;"">Hard cover</td> <td style=""text-align: top;"">Hard cover, Soft cover</td> <td style=""text-align: top;"">Soft cover (Sets of 2)</td> <td style=""text-align: top;"">Soft cover (Sets of 3)</td> </tr> <tr bgcolor=""#eeeeee""> <td style=""text-align: left; width: 100px;"">Black</td> <td style=""text-align: top; width: 350px;"">XS Plain Hard cover, XS Ruled Hard cover, Pkt Plain Hard cover, Pkt Plain Soft cover, Pkt Ruled Hard cover, Pkt Ruled Soft cover, Pkt Squared Hard cover, Pkt Squared Soft cover, LG Plain Hard cover, LG Plain Soft cover, LG Ruled Hard cover, LG Ruled Soft cover, LG Squared Hard cover, LG Squared Soft cover, XL Plain Soft cover, XL Ruled Soft cover, XL Squared Soft cover</td> <td style=""text-align: top;"">Pkt Ruled Hard cover, Pkt Squared Hard cover, LG Ruled Hard cover, LG Squared Hard cover</td> <td style=""text-align: top;"">Pkt Plain Hard cover, Pkt Plain Soft cover, Pkt Ruled Hard cover, Pkt Ruled Soft cover, Pkt Squared Hard cover, Pkt Squared Soft cover, LG Plain Hard cover, LG Plain Soft cover, LG Ruled Hard cover, LG Ruled Soft cover, LG Squared Hard cover, LG Squared Soft cover</td> <td style=""text-align: top;"">XS Plain Soft Cover, XS Ruled Soft cover, Pkt Plain Soft cover, Pkt Ruled Soft cover, LG Plain Soft cover, LG Ruled Soft cover</td> <td style=""text-align: top;"">Pkt Ruled Soft cover, Pkt Squared Soft cover, LG Squared Soft cover, XL Plain Soft cover, XL Ruled Soft cover, XL Squared Soft cover</td> </tr> <tr> <td style=""text-align: left;"">Blue</td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;"">XS Plain Antwerp Blue, XS Plain Blue, XS Ruled Antwerp Blue, XS Ruled Blue, Pkt Plain Antwerp Blue, Pkt Plain Blue, Pkt Ruled Antwerp Blue, Pkt Ruled Blue, LG Plain Antwerp Blue, LG Plain Blue, LG Ruled Antwerp Blue, LG Ruled Sky Blue, XL Plain Antwerp Blue, XL Plain Sky Blue,  XL Ruled Antwerp Blue,  XL Ruled Sky Blue</td> <td style=""text-align: top;"">Pkt Plain Indigo Blue, Pkt Ruled Indigo Blue, Pkt Squared Indigo Blue, LG Plain Indigo Blue, LG Ruled Indigo Blue, XL Plain Indigo Blue, XL Ruled Indigo Blue, XL Squared Indigo Blue</td> </tr> <tr bgcolor=""#eeeeee""> <td style=""text-align: left;"">Kraft Brown</td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;""> Pkt Plain, Pkt Ruled, Pkt Squared, LG Plain, LG Ruled, LG Squared, XL Ruled, XL Squared</td> </tr> <tr> <td style=""text-align: left;"">Green</td> <td style=""text-align: top;"">XS Plain Oxide Green Hard cover, XS Ruled Oxide Green Hard cover, Pkt Plain Oxide Green Hard cover, Pkt Ruled Oxide Green Hard cover, Pkt Squared Oxide Green Hard cover, LG Plain Oxide Green Hard cover, LG Ruled Oxide Green Hard cover, LG Squared Oxide Green Hard cover</td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;"">XS Plain Emerald & Oxide Green, XS Ruled Emerald & Oxide Green, XS Ruled Green, Pkt Plain Emerald & Oxide Green, Pkt Ruled Emerald & Oxide Green, Pkt Ruled Green, LG Plain Emerald & Oxide Green, LG Ruled Emerald & Oxide Green, LG Ruled Green, XL Plain Emerald & Oxide Green, XL Ruled Emerald & Oxide Green</td> <td style=""text-align: top;""></td> </tr> <tr bgcolor=""#eeeeee""> <td style=""text-align: left;"">Grey</td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;"">XS Plain Slate & Payne's Grey, XS Ruled Slate & Payne's Grey, Pkt Plain Slate & Payne's Grey, Pkt Ruled Slate & Payne's Grey, LG Plain Slate & Payne's Grey, LG Ruled Slate & Payne's Grey</td> <td style=""text-align: top;""></td> </tr> <tr> <td style=""text-align: left;"">Orange/Yellow</td> <td style=""text-align: top;"">XS Plain Hard cover, XS Ruled Hard cover, Pkt Plain Hard cover, Pkt Ruled Hard cover, Pkt Squared Hard cover, LG Plain Hard cover, LG Ruled Hard cover, LG Squared Hard cover</td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;"">XS Plain Orange/Yellow & Cadmium Orange, XS Ruled Orange/Yellow & Cadmium Orange, Pkt Plain Orange/Yellow & Cadmium Orange, Pkt Ruled Orange/Yellow & Cadmium Orange, LG Plain Orange/Yellow & Cadmium Orange, LG Ruled Orange/Yellow & Cadmium Orange, XL Plain Orange/Yellow & Cadmium Orange, XL Ruled Orange/Yellow & Cadmium Orange</td> <td style=""text-align: top;""></td> </tr> <tr bgcolor=""#eeeeee""> <td style=""text-align: left;"">Pink/Purple</td> <td style=""text-align: top;"">XS Plain Brilliant Violet Hard cover, XS Ruled Brilliant Violet Hard cover, Pkt Plain Brilliant Violet Hard cover, Pkt Ruled Brilliant Violet Hard cover, Pkt Squared Brilliant Violet Hard cover, LG Plain Brilliant Violet Hard cover, LG Ruled Brilliant Violet Hard cover, LG Squared Brilliant Violet Hard cover, XS Plain Magenta Hard cover, XS Ruled Magenta Hard cover, Pkt Plain Magenta Hard cover, Pkt Ruled Magenta Hard cover,  Pkt Squared Magenta Hard cover, LG Plain Magenta Hard cover, LG Ruled Magenta Hard cover, LG Squared Magenta Hard cover</td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;"">XS Plain Brilliant & Light Violet, XS Plain Pink Magenta & Magenta, XS Ruled Brilliant & Light Violet, XS Ruled Pink Magenta & Magenta, Pkt Plain Brilliant & Light Violet, Pkt Plain Pink Magenta & Magenta, Pkt Ruled Brilliant & Light Violet, Pkt Ruled Pink Magenta & Magenta, LG Plain Brilliant & Light Violet, LG Plain Pink Magenta & Magenta, LG Ruled Brilliant & Light Violet, LG Ruled Pink Magenta & Magenta, XL Ruled Pink Magenta & Magenta, XL Ruled Pink Magenta & Magenta</td> <td style=""text-align: top;"">Pkt Plain Lilac/Yellow/Peach, Pkt Ruled Lilac/Yellow/Peach, Pkt Squared Lilac/Yellow/Peach, LG Plain Lilac/Yellow/Peach, LG Ruled Lilac/Yellow/Peach, LG Squared Lilac/Yellow/Peach, XL Plain Lilac/Yellow/Peach, XL Ruled Lilac/Yellow/Peach, XL Squared Lilac/Yellow/Peach</td> </tr> <tr> <td style=""text-align: left;"">Red</td> <td style=""text-align: top;"">XS Plain Hard cover, XS Ruled Hard cover, Pkt Ruled Hard cover, Pkt Squared Hard cover, LG Plain Hard cover, LG Ruled Hard cover, LG Squared Hard cover</td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;"">XS Plain, XS Ruled, Pkt Plain, Pkt Ruled, LG Plain, LG Ruled, XL Plain, XL Ruled</td> <td style=""text-align: top;"">Pkt Plain Cranberry Red, Pkt Ruled Cranberry Red, LG Plain Cranberry Red, LG Squared Cranberry Red, XL Plain Cranberry Red, XL Ruled Cranberry Red, XL Squared Cranberry Red</td> </tr> <tr bgcolor=""#eeeeee""> <td style=""text-align: left;"">White</td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;"">XS Plain, XS Ruled, Pkt Plain, Pkt Ruled, LG Plain, LG Ruled</td> <td style=""text-align: top;""></td> </tr> </tbody> </table> <div><br /></div> <br /></div> </div> <!-- End Moleskine Notebook & Comparison Table --></div>"
"Awaken the Giant Within : How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!","{""Tony Robbins""}","Wake up and take control of your life! From the bestselling author of <I>Inner Strength</I>, <I>Unlimited Power</I>, and <I>MONEY</I> <I>Master the Game,</I> Anthony Robbins, the nation's leader in the science of peak performance, shows you his most effective strategies and techniques for mastering your emotions, your body, your relationships, your finances, and your life.<BR><BR>The acknowledged expert in the psychology of change, Anthony Robbins provides a step-by-step program teaching the fundamental lessons of self-mastery that will enable you to discover your true purpose, take control of your life, and harness the forces that shape your destiny."
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,"{""J. D. Vance""}","<p><strong><em>#1 NEW YORK TIMES </em>BESTSELLER, NAMED BY THE <em>TIMES </em>AS ONE OF ""6 BOOKS TO HELP UNDERSTAND TRUMP'S WIN""</strong></p><p><strong>""You will not read a more important book about America this year.</strong><strong>""—<em>The Economist </em></strong></p><p><strong>""A riveting book.""—<em>The Wall Street Journal</em></strong></p><p><strong>""Essential reading.""—David Brooks,</strong><strong> </strong><em><strong>New York Times</strong></em></p><p>From a former marine and Yale Law School graduate, a powerful account of growing up in a poor Rust Belt town that offers a broader, probing look at the struggles of America’s white working class</p><p><em>Hillbilly Elegy</em> is a passionate and personal analysis of a culture in crisis—that of white working-class Americans. The decline of this group, a demographic of our country that has been slowly disintegrating over forty years, has been reported on with growing frequency and alarm, but has never before been written about as searingly from the inside. J. D. Vance tells the true story of what a social, regional, and class decline feels like when you were born with it hung around your neck.</p><p>The Vance family story begins hopefully in postwar America. J. D.’s grandparents were “dirt poor and in love,” and moved north from Kentucky’s Appalachia region to Ohio in the hopes of escaping the dreadful poverty around them. They raised a middle-class family, and eventually their grandchild (the author) would graduate from Yale Law School, a conventional marker of their success in achieving generational upward mobility.</p><p>But as the family saga of <em>Hillbilly Elegy</em> plays out, we learn that this is only the short, superficial version. Vance’s grandparents, aunt, uncle, sister, and, most of all, his mother, struggled profoundly with the demands of their new middle-class life, and were never able to fully escape the legacy of abuse, alcoholism, poverty, and trauma so characteristic of their part of America. Vance piercingly shows how he himself still carries around the demons of their chaotic family history.</p><p>A deeply moving memoir with its share of humor and vividly colorful figures, <em>Hillbilly Elegy</em> is the story of how upward mobility really feels. And it is an urgent and troubling meditation on the loss of the American dream for a large segment of this country.</p>"
Ego Is the Enemy,"{""Ryan Holiday""}","<p><b>The instant <i>Wall Street Journal</i>, <i>USA Today</i>, and international bestseller<br><br>“While the history books are filled with tales of obsessive visionary geniuses who remade the world in their image with sheer, almost irrational force, I’ve found that history is also made by individuals who fought their egos at every turn, who eschewed the spotlight, and who put their higher goals above their desire for recognition.” —from the prologue</b> <br> <br>Many of us insist the main impediment to a full, successful life is the outside world. In fact, the most common enemy lies within: our ego. Early in our careers, it impedes learning and the cultivation of talent. With success, it can blind us to our faults and sow future problems. In failure, it magnifies each blow and makes recovery more difficult. At every stage, ego holds us back. <br> <br><i>Ego Is the Enemy </i>draws on a vast array of stories and examples, from literature to philosophy to his­tory. We meet fascinating figures such as George Marshall, Jackie Robinson, Katharine Graham, Bill Belichick, and Eleanor Roosevelt, who all reached the highest levels of power and success by con­quering their own egos. Their strategies and tactics can be ours as well. <br> <br>In an era that glorifies social media, reality TV, and other forms of shameless self-promotion, the battle against ego must be fought on many fronts. Armed with the lessons in this book, as Holiday writes, “you will be less invested in the story you tell about your own specialness, and as a result, you will be liberated to accomplish the world-changing work you’ve set out to achieve.”</p>"
Antifragile: Things That Gain from Disorder (Incerto),"{""Nassim Nicholas Taleb""}","<b><i>Antifragile </i>is a standalone book in Nassim Nicholas Taleb’s landmark Incerto series, an investigation of opacity, luck, uncertainty, probability, human error, risk, and decision-making in a world we don’t understand. The other books in the series are <i>Fooled by Randomness, The Black Swan, </i>and <i>The Bed of Procrustes</i>.</b><br><br>Nassim Nicholas Taleb, the bestselling author of <i>The Black Swan</i> and one of the foremost thinkers of our time, reveals how to thrive in an uncertain world.<br>  <br> Just as human bones get stronger when subjected to stress and tension, and rumors or riots intensify when someone tries to repress them, many things in life benefit from stress, disorder, volatility, and turmoil. What Taleb has identified and calls “antifragile” is that category of things that not only gain from chaos but need it in order to survive and flourish.  <br>  <br> In <i>The Black Swan, </i>Taleb showed us that highly improbable and unpredictable events underlie almost everything about our world. In <i>Antifragile,</i> Taleb stands uncertainty on its head, making it desirable, even necessary, and proposes that things be built in an antifragile manner. The antifragile is beyond the resilient or robust. The resilient resists shocks and stays the same; the antifragile gets better and better. <br>  <br> Furthermore, the antifragile is immune to prediction errors and protected from adverse events. Why is the city-state better than the nation-state, why is debt bad for you, and why is what we call “efficient” not efficient at all? Why do government responses and social policies protect the strong and hurt the weak? Why should you write your resignation letter before even starting on the job? How did the sinking of the <i>Titanic</i> save lives? The book spans innovation by trial and error, life decisions, politics, urban planning, war, personal finance, economic systems, and medicine. And throughout, in addition to the street wisdom of Fat Tony of Brooklyn, the voices and recipes of ancient wisdom, from Roman, Greek, Semitic, and medieval sources, are loud and clear.<br>  <br> <i>Antifragile</i> is a blueprint for living in a Black Swan world.<br>  <br> Erudite, witty, and iconoclastic, Taleb’s message is revolutionary: The antifragile, and only the antifragile, will make it.<br><br><b>Praise for <i>Antifragile</i></b><br>  <br>“Ambitious and thought-provoking . . . highly entertaining.”<b>—<i>The Economist</i></b><br>  <br> “A bold book explaining how and why we should embrace uncertainty, randomness, and error . . . It may just change our lives.”<b>—<i>Newsweek</i></b><br> <b><i> </i></b><br> “Revelatory . . . [Taleb] pulls the reader along with the logic of a Socrates.”<b>—<i>Chicago Tribune</i></b><br> <b> </b><br> “Startling . . . richly crammed with insights, stories, fine phrases and intriguing asides . . . I will have to read it again. And again.”<b>—Matt Ridley, <i>The Wall Street Journal</i></b><br>  <br> “Trenchant and persuasive . . . Taleb’s insatiable polymathic curiosity knows no bounds. . . . You finish the book feeling braver and uplifted.”<b>—<i>New Statesman</i></b><br>  <br> “Antifragility isn’t just sound economic and political doctrine. It’s also the key to a good life.”<b>—<i>Fortune</i></b><br> <i> </i><br> “At once thought-provoking and brilliant.”<b><i>—Los Angeles Times</i></b><br><br><br><i>From the Hardcover edition.</i><strong>Amazon Best Books of the Month, December 2012</strong>: Fragile things break under stress. But, according to Nassim Nicholas Taleb, there's an entire class of other things that don't simply resist stress but actually grow, strengthen, or otherwise gain from unforeseen and otherwise unwelcome stimuli. Taleb sees degrees of antifragility everywhere, from fasting, mythology, and urban planning to economic, technological, cultural, and biological systems. The wealth of radical thinking in this book astounds; the glossary alone offered more thought-provoking ideas than any other nonfiction book I read this year. That said, <i>Antifragile</i> is far from flawless. As comical as Taleb's rough handling of his favorite targets can be--academics, economists, and tourists, to name a few--his argumentative style boasts gaping holes, non sequiturs aplenty, and at times an almost willfully repugnant tone. Some readers will find Taleb's brashness off-putting; others will embrace it as a charismatic component of the ideas themselves. Either way, no one will finish this book unchanged. --<i>Jason Kirk</i>"
"#AskGaryVee: One Entrepreneur's Take on Leadership, Social Media, and Self-Awareness","{""Gary Vaynerchuk""}","<p>The <em>New York Times</em> bestselling author draws from his popular show <em>#AskGaryVee</em> to offer surprising, often outrageous, and imminently useful and honest answers to everything you’ve ever wanted to know—and more—about navigating the new world.</p><p>Gary Vaynerchuk—the inspiring and unconventional entrepreneur who introduced us to the concept of crush it—knows how to get things done, have fun, and be massively successful. A marketing and business genius, Gary had the foresight to go beyond traditional methods and use social media tools such as Twitter, Facebook, and YouTube to reach an untapped audience that continues to grow.</p><p><em>#AskGaryVee</em> showcases the most useful and interesting questions Gary has addressed on his popular show. Distilling and expanding on the podcast’s most urgent and evergreen themes, Gary presents practical, timely, and timeless advice on marketing, social media, entrepreneurship, and everything else you’ve been afraid to ask but are dying to know. Gary gives you the insights and information you need on everything from effectively using Twitter to launching a small business, hiring superstars to creating a personal brand, launching products effectively to staying healthy—and even buying wine.</p><p>Whether you’re planning to start your own company, working in digital media, or have landed your first job in a traditional company, <em>#AskGaryVee</em> is your essential guide to making things happen in a big way.</p>"
